@relation 'about128s-weka.filters.unsupervised.attribute.Remove-R7,9-11-weka.filters.unsupervised.attribute.NumericToNominal-R7'

@attribute rate numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute sigma4 numeric
@attribute sigma8 numeric
@attribute sigma16 numeric
@attribute class {1,2,3}

@data
1466670,0.400251,0.237521,0.137482,0.099056,0.076029,3
24772,7.279702,5.561816,3.926295,2.756545,1.880664,1
51821,4.422787,3.113727,2.891158,1.953814,1.153918,1
57713,3.562456,2.835243,1.897454,1.126085,0.625566,1
69050,2.965373,2.047983,1.662096,0.799656,0.831521,1
5971,7.862258,5.557121,3.92293,2.753874,1.878668,1
196489,2.409644,1.678094,1.09295,0.647951,0.404999,2
144340,2.684642,2.064028,1.357049,0.629249,0.042196,2
176829,2.309057,1.914215,1.504707,0.743113,0.252825,2
140780,2.446086,1.5861,1.070023,0.624368,0.316935,2
575721,1.605147,1.238798,0.695833,0.32621,0.158158,3
802697,0.808405,0.645858,0.298166,0.161109,0.088775,3
1464578,0.423714,0.279036,0.245203,0.200794,0.038207,3
1325092,0.508872,0.309746,0.263304,0.19052,0.166211,3
24795,5.624196,3.942928,2.732454,2.756671,1.880757,1
57226,4.627142,3.960242,2.745263,1.837613,1.036528,1
57738,3.502714,2.561289,1.694766,0.937008,0.570454,1
68979,3.177836,2.146287,1.656789,0.793782,0.831138,1
10144,5.514678,3.863529,3.923133,2.754012,1.878532,1
196570,2.527241,1.803961,1.123921,0.440572,0.173892,2
144268,2.547395,1.981378,1.372778,0.666068,0.04196,2
176842,2.958717,2.100755,1.504715,0.743135,0.252939,2
140804,2.748477,1.8776,1.359201,0.624457,0.316829,2
563595,1.343329,0.932027,0.581559,0.263622,0.130737,3
811028,1.063776,0.796462,0.378945,0.162161,0.090714,3
1906025,0.325013,0.272685,0.259829,0.201973,0.191431,3
1827711,0.318992,0.189827,0.140271,0.126644,0.085487,3
24747,5.520106,3.867481,3.926462,2.756669,1.880776,1
59249,3.985467,3.224232,2.803683,1.884261,1.084289,1
57712,4.107504,2.852702,1.90733,1.134984,0.625558,1
69006,3.055926,2.658387,2.104631,0.977406,0.831298,1
5670,7.855676,5.552412,3.919404,2.751206,1.876195,1
197968,2.07518,1.57978,1.169984,0.627101,0.377342,2
171426,2.551119,1.962084,1.192641,0.593129,0.151141,2
176804,2.564086,1.892722,1.349316,0.743074,0.252932,2
140877,2.395653,1.816838,1.150223,0.624704,0.3165,2
586641,1.432364,0.911312,0.537455,0.357289,0.091075,3
1908245,0.432039,0.28069,0.160208,0.146371,0.113333,3
2294902,0.391975,0.166824,0.134644,0.10188,0.074,3
25506,6.9476,4.898939,3.803075,2.662385,1.881111,1
60004,4.783093,3.874603,2.681381,1.786492,0.982913,1
57714,3.666838,2.511391,1.756418,0.995989,0.625575,1
69050,3.437406,2.656104,2.122685,1.25479,0.831965,1
18217,7.867738,5.561086,3.92576,2.755981,1.880202,1
215276,2.389214,1.812775,1.137847,0.59252,0.378415,2
144341,2.962691,2.146888,1.498109,0.827808,0.042686,2
176926,2.727436,1.855332,1.101596,0.743255,0.252644,2
140930,2.947131,2.029246,1.399139,0.622892,0.316273,2
567408,1.271927,0.997166,0.4529,0.390001,0.126613,3
816528,1.112411,0.928168,0.47885,0.285486,0.041215,3
2160002,0.277073,0.19815,0.139465,0.068641,0.039411,3
1832527,0.537541,0.336486,0.196178,0.123143,0.065969,3
30148,6.59902,4.647641,3.254787,2.239411,1.880969,1
37665,7.581579,5.355326,3.775057,2.640794,1.781276,1
57784,4.052586,2.853618,1.908038,1.135627,0.626357,1
69085,3.041647,2.480352,1.912253,0.909568,0.832024,1
8,4.596194,3.181981,2.150581,1.322876,1,1
215227,2.557277,1.888539,1.13777,0.592513,0.378715,2
171473,2.49154,1.984794,1.295186,0.592723,0.151679,2
176806,2.964746,1.985333,1.444163,0.675703,0.252853,2
140901,2.989199,2.003885,1.228028,0.624412,0.316742,2
536979,1.834071,1.279765,0.608394,0.254817,0.103227,3
2120284,0.710205,0.450622,0.20973,0.17978,0.059649,3
1730703,0.798318,0.3691,0.228813,0.072663,0.025978,3
24794,7.869407,5.562282,3.926649,2.756675,1.880752,1
13,3.551814,2.417882,1.54422,0.733799,0.27735,1
57715,3.708986,2.542642,1.761097,1.000407,0.625555,1
69008,3.144699,2.588454,2.034171,0.89397,0.831469,1
4758,7.850136,5.548423,3.916505,2.748877,1.874308,1
212854,1.910059,1.602431,0.95615,0.492743,0.323909,2
144364,2.857965,2.104884,1.391445,0.799103,0.042763,2
176855,2.380517,2.012294,1.43664,0.743146,0.25284,2
140804,2.632322,1.821304,1.071073,0.624451,0.31684,2
566767,1.391633,1.040481,0.567952,0.243605,0.138246,3
816172,1.169922,0.974995,0.568487,0.500436,0.042583,3
1816403,0.259465,0.210262,0.155509,0.092448,0.047138,3
1609540,0.280214,0.193626,0.129023,0.076984,0.056692,3
31989,7.864192,5.558535,3.927052,2.756978,1.881197,1
57756,4.128117,2.852143,1.906894,1.13459,0.625195,1
