rate,sigma1,sigma2,sigma4,sigma8,sigma16,duration,output,outputdesc,time,flow_count
519131,1405.07117257,1275.37680707,1163.04772043,1116.05689819,856.292006269,64,2,YT6,2016-10-26 11:53:06.435863,6.0
164881,1115.80822725,753.88129039,493.934206145,251.067719948,83.0301150186,80,2,YT6,2016-10-26 11:53:06.436758,6.0
168786,1219.55196691,811.948274215,535.255079378,274.63066107,75.7231800706,96,2,YT6,2016-10-26 11:53:06.437611,6.0
150510,1209.27540288,871.54976909,554.235509508,310.781273567,11.2249721603,112,2,YT6,2016-10-26 11:53:06.438465,6.0
171330,1233.2813953,826.406074518,505.742029102,218.190283927,44.8330235429,128,2,YT6,2016-10-26 11:53:06.439320,6.0
2241286,1081.7795524,896.959865323,699.495532509,379.363941354,0.0,16,2,YT7,2016-10-26 11:57:35.840337,5.88235294118
1180199,1451.81231569,1317.65473475,1193.62263718,1044.37397516,976.727188113,32,2,YT7,2016-10-26 11:57:35.841060,5.93939393939
882405,1499.78498459,1348.88583653,1226.23651878,1083.58109987,1025.49158943,48,2,YT7,2016-10-26 11:57:35.841780,5.95918367347
703323,1533.17807185,1375.72199226,1252.45758411,1115.8897795,1061.29496371,64,2,YT7,2016-10-26 11:57:35.842575,5.96923076923
177337,1257.36271616,840.961354641,558.632258288,259.586209187,155.270731305,80,2,YT7,2016-10-26 11:57:35.843346,6.0
187735,1305.53973513,873.758547884,611.515330961,305.147505315,134.357731449,96,2,YT7,2016-10-26 11:57:35.844110,6.0
179268,1229.32705168,858.854469628,558.660898936,310.435178419,65.0538238692,112,2,YT7,2016-10-26 11:57:35.844866,6.0
176925,1168.28506795,852.618906663,608.518693221,312.53639788,106.597373326,128,2,YT7,2016-10-26 11:57:35.845623,6.0
1042363,1732.20264403,1706.27195957,1691.16113957,953.402328506,0.0,16,2,YT8,2016-10-26 12:00:38.970284,5.88235294118
578229,1801.62648737,1753.69894794,1727.47532544,1096.85915231,610.369560185,32,2,YT8,2016-10-26 12:00:38.970954,5.93939393939
440831,1767.82719744,1692.68366803,1652.22123216,1069.86774884,641.425755641,48,2,YT8,2016-10-26 12:00:38.971685,5.95918367347
330624,1798.72482609,1724.92811444,1685.24004225,1120.18748431,722.240957022,64,2,YT8,2016-10-26 12:00:38.972515,5.96923076923
109408,1275.14783457,870.801929258,569.606881981,327.913098244,200.02999775,80,2,YT8,2016-10-26 12:00:38.973345,6.0
134496,1264.83160935,855.959111173,546.89304256,286.881508641,219.852223095,96,2,YT8,2016-10-26 12:00:38.974174,6.0
134545,1251.48192156,851.589689933,493.971659106,277.467115169,248.925691723,112,2,YT8,2016-10-26 12:00:38.974934,6.0
140877,1225.30159553,830.025300819,525.475974712,234.200768573,118.907527096,128,2,YT8,2016-10-26 12:00:38.975690,6.0
2619763,1419.45869965,1274.06397014,1195.19538152,1194.80542349,0.0,16,3,YT9,2016-10-26 12:03:42.079133,4.82352941176
1572473,1646.2961459,1474.12177245,1380.3202527,1375.20725711,835.170042566,32,3,YT9,2016-10-26 12:03:42.080572,4.90909090909
1230149,1666.26108398,1475.38164554,1356.85924104,1345.8164808,885.962753167,48,3,YT9,2016-10-26 12:03:42.082255,4.9387755102
1079761,1651.51173172,1426.33025629,1282.97700681,1270.14920383,856.463075678,64,3,YT9,2016-10-26 12:03:42.083863,5.01538461538
591982,1413.80019805,883.715451941,307.406896474,180.152712997,76.4460594145,80,3,YT9,2016-10-26 12:03:42.085287,5.30769230769
615453,1389.33401312,934.618638804,359.219988308,229.782505862,56.6745092612,96,3,YT9,2016-10-26 12:03:42.086245,5.55384615385
610634,1476.69055662,918.129620479,430.038370381,200.835753789,113.635381814,112,3,YT9,2016-10-26 12:03:42.087288,5.8125
536998,1526.72951108,1012.76502704,552.612884396,196.030609855,75.6835517137,128,3,YT9,2016-10-26 12:03:42.088228,6.0
2111257,1480.60528163,1325.9506024,783.681695588,731.486158447,90.8129946649,16,3,YT10,2016-10-26 12:08:27.573065,6.0
1458947,1529.47213116,1277.93857442,818.657437516,781.040972037,470.06914385,32,3,YT10,2016-10-26 12:08:27.574585,6.0
1245161,1576.39271757,1269.56409842,793.174633987,742.755006715,482.2499352,48,3,YT10,2016-10-26 12:08:27.576374,6.0
1068427,1581.04427515,1303.50949364,836.087316014,748.840436942,530.877575341,64,3,YT10,2016-10-26 12:08:27.578283,6.0
768286,1525.67362172,1017.2541472,462.568913785,217.89446987,144.443760682,80,3,YT10,2016-10-26 12:08:27.580163,6.0
767888,1529.90653309,1094.80591887,488.144445835,261.864468762,144.201248261,96,3,YT10,2016-10-26 12:08:27.582110,6.0
776320,1470.01224485,938.380519832,431.584290724,254.3186977,162.061716639,112,3,YT10,2016-10-26 12:08:27.584099,6.0
835401,1482.77274051,950.949525474,385.606016551,276.188341535,15.1986841536,128,3,YT10,2016-10-26 12:08:27.585978,6.0
2755909,1065.06197003,542.998158376,372.770707004,363.495529546,0.0,16,3,YT11,2016-10-26 12:11:31.643447,5.94117647059
2321627,1230.24022044,587.687842311,458.256478405,414.751732968,285.019297592,32,3,YT11,2016-10-26 12:11:31.644759,5.9696969697
2324193,1199.64994894,556.464733833,394.369116438,342.581377194,232.600515907,48,3,YT11,2016-10-26 12:11:31.646241,5.97959183673
2229071,1218.16049846,637.332723152,411.104609558,329.153459651,233.422363967,64,3,YT11,2016-10-26 12:11:31.647819,5.98461538462
2082418,1197.20883725,592.715783492,354.268259939,242.497422667,122.894263495,80,3,YT11,2016-10-26 12:11:31.649468,6.0
2176214,1084.70410712,590.310088005,330.281697949,212.136748349,98.8129546163,96,3,YT11,2016-10-26 12:11:31.651033,6.0
2120927,1053.74712336,474.029534945,234.948930621,207.354768453,162.215905509,112,3,YT11,2016-10-26 12:11:31.652905,6.0
2183699,938.182818005,454.869211972,195.887722944,151.963811482,93.1289428696,128,3,YT11,2016-10-26 12:11:31.654699,6.0
2907677,356.702957655,284.466166705,207.658373296,147.149583757,0.0,16,3,YT12,2016-10-26 12:14:35.134055,6.0
3245484,559.766915778,379.338898612,260.180706433,213.365882934,187.509999733,32,3,YT12,2016-10-26 12:14:35.134871,6.0
2711513,872.075111444,652.417044535,533.700290425,496.645749,488.224333683,48,3,YT12,2016-10-26 12:14:35.135777,6.0
2393537,976.571041963,740.638238278,627.463943187,585.537360038,573.801359357,64,3,YT12,2016-10-26 12:14:35.136752,6.0
2109275,1125.83613372,794.585426496,655.106098277,602.980099174,591.582623139,80,3,YT12,2016-10-26 12:14:35.137834,6.0
1635383,1154.91168494,560.103561853,319.535600521,161.585890473,95.3100204596,96,3,YT12,2016-10-26 12:14:35.139238,6.0
1667621,1143.33153547,579.738734259,337.804677291,144.751511218,110.819673344,112,3,YT12,2016-10-26 12:14:35.140989,6.0
1765374,1135.37570874,485.495623049,316.783837972,145.32033581,71.770467464,128,3,YT12,2016-10-26 12:14:35.142697,6.0
2237650,1338.363553,1250.55907497,1206.64866469,1177.68034712,0.0,16,1,YT0,2016-10-26 12:17:38.162249,4.94117647059
1189842,1636.29917802,1557.00513808,1517.58986554,1492.73909308,960.587320341,32,1,YT0,2016-10-26 12:17:38.163437,4.9696969697
793235,1753.29660925,1679.53624552,1643.06299331,1620.1382657,1148.61568856,48,1,YT0,2016-10-26 12:17:38.164888,4.97959183673
616758,1778.50330334,1701.20839405,1662.78501316,1639.05918136,1193.35954347,64,1,YT0,2016-10-26 12:17:38.166411,5.07692307692
