rate,sigma1,sigma2,sigma4,sigma8,sigma16,duration,output,outputdesc,time,flow_count
2223450,1336.69480436,1210.17932555,1146.73536616,1113.81730998,0.0,16,1,YT0,2016-10-25 20:16:29.862802,1.94117647059
1182724,1632.82669013,1524.32247244,1470.76816664,1443.36135462,956.961859219,32,1,YT0,2016-10-25 20:16:29.863490,1.9696969697
788490,1749.37703197,1648.56270733,1599.17509986,1574.00603557,1144.54750884,48,1,YT0,2016-10-25 20:16:29.864836,1.97959183673
601278,1787.32789381,1688.90615488,1640.74312432,1616.22523183,1209.65614949,64,1,YT0,2016-10-25 20:16:29.866683,2.01538461538
45416,1061.3373639,735.193171894,497.539948145,317.954399246,272.442654517,80,1,YT0,2016-10-25 20:16:29.868499,2.27692307692
9921,789.368101712,553.705698002,385.1402342,263.186245841,172.255624001,96,1,YT0,2016-10-25 20:16:29.870357,2.52307692308
34808,842.86416462,585.399863341,548.111302565,194.745988405,153.013071337,112,1,YT0,2016-10-25 20:16:29.872055,3.15625
24743,875.090281057,613.269108956,617.736189647,433.683064,295.94594101,128,1,YT0,2016-10-25 20:16:29.873141,3.875
2412981,1106.02848065,1042.19383994,944.165239775,501.295322141,0.0,16,1,YT1,2016-10-25 20:19:49.057691,3.0
1281107,1492.10254339,1433.78310773,1360.73840249,1112.82029097,1000.01249992,32,1,YT1,2016-10-25 20:19:49.058351,3.0
854078,1628.91712496,1575.67033354,1509.50786682,1290.49525377,1194.58653935,48,1,YT1,2016-10-25 20:19:49.059080,3.0
640562,1693.18250641,1642.02131533,1578.64245477,1370.72207249,1280.83527434,64,1,YT1,2016-10-25 20:19:49.059929,3.03076923077
68493,1271.05861391,879.572055036,593.792051142,376.895210901,263.734715197,80,1,YT1,2016-10-25 20:19:49.060819,3.52307692308
31186,1401.06923455,982.903861016,683.708271122,467.049247939,305.748262464,96,1,YT1,2016-10-25 20:19:49.061656,4.01538461538
43182,1269.95118016,892.612457901,622.306998193,423.022458033,282.968196093,112,1,YT1,2016-10-25 20:19:49.062472,4.9375
43180,1269.98188963,892.635423899,622.323067225,423.035459507,256.364974207,128,1,YT1,2016-10-25 20:19:49.063288,5.90625
2525955,1299.24093224,1275.81464171,1217.3598482,1191.32908971,0.0,16,1,YT2,2016-10-25 20:22:51.992571,2.0
1262983,1717.84166907,1700.19293023,1656.77970775,1637.74814914,1123.81493138,32,1,YT2,2016-10-25 20:22:51.993613,2.0
875971,1793.61116187,1771.38251092,1728.31738983,1709.99736842,1247.37163668,48,1,YT2,2016-10-25 20:22:51.994754,2.0
662266,1844.11659067,1822.30732864,1780.62292471,1762.89364398,1323.02418723,64,1,YT2,2016-10-25 20:22:51.995859,2.0
56005,980.687513941,672.969538687,445.466048089,362.888412601,194.53020331,80,1,YT2,2016-10-25 20:22:51.996869,2.0
61270,947.630202136,646.823778165,422.557688369,337.51592555,162.246725699,96,1,YT2,2016-10-25 20:22:51.997745,2.0
36351,908.531782603,632.704512391,431.543740541,275.221728793,206.109194361,112,1,YT2,2016-10-25 20:22:51.998508,2.0
57737,991.866422458,685.249589566,458.138625309,272.572926022,150.219838903,128,1,YT2,2016-10-25 20:22:51.999258,2.0
1996732,1391.71836231,1368.16702197,1303.70587174,1287.21909557,0.0,16,1,YT3,2016-10-25 20:26:11.188274,3.0
1010920,1696.71034652,1676.94454291,1625.05476831,1611.82970565,980.472335153,32,1,YT3,2016-10-25 20:26:11.188935,3.0
673953,1793.25291022,1774.56304481,1725.61177557,1713.16315627,1139.41871145,48,1,YT3,2016-10-25 20:26:11.189619,3.0
534123,1792.93084083,1765.68343709,1716.45885474,1701.00705466,1156.90794794,64,1,YT3,2016-10-25 20:26:11.190391,3.2
66284,1040.67093742,836.569184228,615.270672144,395.16958385,211.995282966,80,1,YT3,2016-10-25 20:26:11.191174,3.44615384615
60009,1080.49294306,874.782258622,648.732610557,424.78818251,245.401711485,96,1,YT3,2016-10-25 20:26:11.191947,3.69230769231
67338,1040.1874831,799.978749718,626.915464796,407.530366967,224.024552226,112,1,YT3,2016-10-25 20:26:11.192742,3.953125
69003,1015.4058302,698.331583132,557.640565239,329.454093919,218.279637163,128,1,YT3,2016-10-25 20:26:11.193672,4.0
1937455,1392.02406588,1336.22153852,1242.50553319,1209.94875925,0.0,16,1,YT4,2016-10-25 20:29:14.111750,1.82352941176
968732,1704.82785055,1659.57675327,1585.09558071,1559.70638262,984.233204073,32,1,YT4,2016-10-25 20:29:14.112958,1.90909090909
645833,1797.0158597,1754.14537596,1683.8539129,1659.97620465,1136.47613261,48,1,YT4,2016-10-25 20:29:14.114318,1.9387755102
484374,1841.39349407,1799.58022883,1731.13431021,1707.91803082,1205.42067346,64,1,YT4,2016-10-25 20:29:14.115741,2.07692307692
25375,1263.69379202,886.437251022,616.601167693,421.219657661,275.757139527,80,1,YT4,2016-10-25 20:29:14.116574,2.61538461538
25382,1263.51414713,886.307508712,616.505474428,421.144868187,275.693670584,96,1,YT4,2016-10-25 20:29:14.117390,3.10769230769
25776,1263.57943953,893.128770111,630.497422675,442.638678834,301.993377411,112,1,YT4,2016-10-25 20:29:14.118159,3.65625
14,12.9614813968,8.83176086633,5.65685424949,5.38516480713,3.87298334621,128,1,YT4,2016-10-25 20:29:14.119465,4.53125
2346816,1264.35319433,1152.57711239,993.671978069,485.676847297,0.0,16,2,YT5,2016-10-25 20:32:33.313452,2.76470588235
1322802,1552.0357599,1432.92532953,1301.07532449,1001.08541094,890.34431542,32,2,YT5,2016-10-25 20:32:33.314630,2.87878787879
927650,1651.73999165,1528.40766813,1402.22430445,1138.47968801,1044.14414714,48,2,YT5,2016-10-25 20:32:33.315968,2.91836734694
770579,1639.3782358,1508.5512918,1375.51590322,1125.38571166,1039.42291681,64,2,YT5,2016-10-25 20:32:33.317313,2.93846153846
218211,1315.84383572,911.369299461,553.363352599,272.976189438,173.106903386,80,2,YT5,2016-10-25 20:32:33.318153,3.0
192866,1203.82764547,897.632441481,553.573843313,281.291663581,150.728232259,96,2,YT5,2016-10-25 20:32:33.318933,3.0
219540,1182.33836105,815.249655014,467.960468416,286.823987839,169.69678842,112,2,YT5,2016-10-25 20:32:33.319701,3.0
202598,1190.96095654,819.007936469,501.842604808,283.017667293,172.040692861,128,2,YT5,2016-10-25 20:32:33.320467,3.0
1793125,1222.01350238,1100.29632372,1046.99808978,1029.07045434,0.0,16,2,YT6,2016-10-25 20:35:52.567330,2.94117647059
961891,1484.99326598,1374.7032407,1325.58289066,1307.47810689,847.539969559,32,2,YT6,2016-10-25 20:35:52.567949,2.9696969697
715259,1512.1405358,1386.58140764,1329.83758407,1304.89309907,902.271023584,48,2,YT6,2016-10-25 20:35:52.572080,2.97959183673
575226,1533.73335362,1396.01432657,1331.56975033,1304.09853922,928.157314252,64,2,YT6,2016-10-25 20:35:52.573043,2.98461538462
163171,1165.74654192,822.601969363,523.850169419,270.037034497,86.7813343986,80,2,YT6,2016-10-25 20:35:52.573819,3.0
168738,1116.02912148,840.976218451,535.102793863,274.801746719,75.4188305399,96,2,YT6,2016-10-25 20:35:52.574586,3.0
150558,1124.9342203,751.013315461,589.043292127,324.488828775,11.3578166916,112,2,YT6,2016-10-25 20:35:52.575342,3.0
171304,1141.48762586,756.444313879,535.978544347,277.135345995,121.655250606,128,2,YT6,2016-10-25 20:35:52.576094,3.0
241470,1427.9247179,1300.06076781,851.084014654,491.395970679,0.0,16,1,YT0,2016-10-26 10:49:05.846523,1.94117647059
1323133,1431.40909596,1365.81916812,1312.15243017,1158.62634184,940.351530014,32,1,YT0,2016-10-26 10:49:05.869455,1.9696969697
909050,1549.63705428,1484.64238118,1433.5668802,1297.0111796,1111.42926001,48,1,YT0,2016-10-26 10:49:05.870535,1.97959183673
687057,1612.62518894,1550.34480036,1501.67140214,1372.8364797,1200.40951346,64,1,YT0,2016-10-26 10:49:05.871374,1.98461538462
631953,1651.45329937,1595.32097084,1573.24568965,1455.42055778,1287.92662834,80,1,YT0,2016-10-26 10:49:05.872185,2.0
56030,980.589618546,672.8937509,445.395330016,266.782683096,150.768033747,96,1,YT0,2016-10-26 10:49:05.872994,2.0
41729,867.543082504,600.424849586,403.277819871,255.957027643,187.040102652,112,1,YT0,2016-10-26 10:49:05.873841,2.0
