136944,188393.228031,175255.804375,165002.681712,59940.0742409,29900.0,20,1
92827,163373.601849,154751.395732,151268.740165,85736.3592649,74017.0,31,1
106738,166722.815031,151435.544569,131810.047348,77621.1215649,76170.334396,43,1
164575,218875.038232,190229.126616,172952.734497,146413.442006,98714.1179721,57,1
188716,253434.81441,212806.452132,185142.677768,138441.642901,97162.4467065,69,1
182569,244412.172987,202536.051976,176069.634903,142437.869115,95310.1622651,85,1
210766,269288.191906,211749.061157,174168.764128,137998.511325,88564.5384451,101,1
45215,105756.473036,101628.021515,102480.641923,80197.5070248,46847.2584577,39,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
31489,90671.8383733,86470.7449372,85399.5589743,65885.8098986,45544.2377804,56,2
92228,133518.527501,117355.316995,47950.2145459,35921.8760646,34495.0,22,1
193525,267106.588569,248661.707259,188390.897739,164912.773814,148381.312085,34,1
216776,280801.853701,262171.988715,224595.002077,170111.928524,148307.645912,47,1
171673,261057.148927,245300.705945,206865.547844,177882.269437,127733.885845,61,1
164148,249454.528161,231231.077727,193190.661151,157706.062315,119241.171505,78,1
192222,273113.805021,246317.473954,190119.71958,146809.243541,107256.52582,94,1
182489,275110.572129,241090.299176,191173.372427,135547.260703,101511.928161,109,1
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
32332,107816.585644,89251.3109372,88903.2556041,58173.6284926,35394.5610511,35,2
170943,180789.153065,157577.578948,111309.974629,107644.165508,24272.0,21,1
197694,198421.245851,146703.544606,102347.035985,91153.6497295,51023.0,32,1
191183,187656.579496,134840.308269,97796.589281,83823.9331396,51436.7538828,43,1
171097,193341.234019,149380.219219,108861.52464,78706.8851626,47477.4317018,56,1
139655,179923.297394,143638.637852,111700.021808,89225.8844282,60669.6444443,74,1
118787,173245.515971,141763.118511,114984.25687,95461.3300295,82529.2462888,87,1
109941,169562.538888,139674.826494,115163.888007,98089.5242419,84102.4517776,94,1
39978,100578.885249,92700.6673708,83656.4288086,56292.4089465,53280.497295,42,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
32290,91754.9209035,84788.521676,75452.6978908,53752.6142248,49065.7989337,52,2
1123954,1138467.65376,864429.423197,599520.094556,177086.996123,83183.0,21,1
